Run: roi_clip_baseline_lr5e4_seed43
Device: cuda | AMP: True
Protocol: official train/test only; no validation split is used.
Split: split_files | train=1386 test=594 classes=6
Epoch 001/100 | train_loss=1.6764 train_acc=0.3478 | test_loss=1.5346 test_acc=0.5892 | lr=5.00e-04 | patience=0/25 (new best)
Epoch 002/100 | train_loss=1.4174 train_acc=0.6118 | test_loss=1.3481 test_acc=0.6397 | lr=5.00e-04 | patience=0/25 (new best)
Epoch 003/100 | train_loss=1.2566 train_acc=0.6479 | test_loss=1.2223 test_acc=0.6700 | lr=5.00e-04 | patience=0/25 (new best)
Epoch 004/100 | train_loss=1.1355 train_acc=0.6623 | test_loss=1.1361 test_acc=0.6700 | lr=4.99e-04 | patience=1/25
Epoch 005/100 | train_loss=1.0405 train_acc=0.6948 | test_loss=1.0730 test_acc=0.6785 | lr=4.98e-04 | patience=0/25 (new best)
Epoch 006/100 | train_loss=0.9810 train_acc=0.7006 | test_loss=1.0295 test_acc=0.6869 | lr=4.97e-04 | patience=0/25 (new best)
Epoch 007/100 | train_loss=0.9401 train_acc=0.7063 | test_loss=0.9949 test_acc=0.6919 | lr=4.96e-04 | patience=0/25 (new best)
Epoch 008/100 | train_loss=0.8917 train_acc=0.7316 | test_loss=0.9697 test_acc=0.6801 | lr=4.94e-04 | patience=1/25
Epoch 009/100 | train_loss=0.8667 train_acc=0.7273 | test_loss=0.9459 test_acc=0.6902 | lr=4.92e-04 | patience=2/25
Epoch 010/100 | train_loss=0.8316 train_acc=0.7388 | test_loss=0.9310 test_acc=0.6886 | lr=4.90e-04 | patience=3/25
Epoch 011/100 | train_loss=0.8120 train_acc=0.7367 | test_loss=0.9178 test_acc=0.6801 | lr=4.88e-04 | patience=4/25
Epoch 012/100 | train_loss=0.7903 train_acc=0.7403 | test_loss=0.9024 test_acc=0.6886 | lr=4.85e-04 | patience=5/25
Epoch 013/100 | train_loss=0.7703 train_acc=0.7482 | test_loss=0.8935 test_acc=0.6818 | lr=4.82e-04 | patience=6/25
Epoch 014/100 | train_loss=0.7581 train_acc=0.7489 | test_loss=0.8817 test_acc=0.6869 | lr=4.79e-04 | patience=7/25
Epoch 015/100 | train_loss=0.7464 train_acc=0.7482 | test_loss=0.8749 test_acc=0.6852 | lr=4.76e-04 | patience=8/25
Epoch 016/100 | train_loss=0.7319 train_acc=0.7561 | test_loss=0.8675 test_acc=0.6852 | lr=4.73e-04 | patience=9/25
Epoch 017/100 | train_loss=0.7213 train_acc=0.7583 | test_loss=0.8630 test_acc=0.6852 | lr=4.69e-04 | patience=10/25
Epoch 018/100 | train_loss=0.6937 train_acc=0.7727 | test_loss=0.8584 test_acc=0.6886 | lr=4.65e-04 | patience=11/25
Epoch 019/100 | train_loss=0.6997 train_acc=0.7698 | test_loss=0.8515 test_acc=0.6936 | lr=4.61e-04 | patience=0/25 (new best)
Epoch 020/100 | train_loss=0.6859 train_acc=0.7655 | test_loss=0.8477 test_acc=0.6886 | lr=4.57e-04 | patience=1/25
Epoch 021/100 | train_loss=0.6806 train_acc=0.7677 | test_loss=0.8462 test_acc=0.6852 | lr=4.52e-04 | patience=2/25
Epoch 022/100 | train_loss=0.6602 train_acc=0.7763 | test_loss=0.8445 test_acc=0.6902 | lr=4.48e-04 | patience=3/25
Epoch 023/100 | train_loss=0.6514 train_acc=0.7734 | test_loss=0.8389 test_acc=0.6902 | lr=4.43e-04 | patience=4/25
Epoch 024/100 | train_loss=0.6599 train_acc=0.7684 | test_loss=0.8388 test_acc=0.6902 | lr=4.38e-04 | patience=5/25
Epoch 025/100 | train_loss=0.6491 train_acc=0.7670 | test_loss=0.8327 test_acc=0.6953 | lr=4.32e-04 | patience=0/25 (new best)
Epoch 026/100 | train_loss=0.6434 train_acc=0.7756 | test_loss=0.8330 test_acc=0.6936 | lr=4.27e-04 | patience=1/25
Epoch 027/100 | train_loss=0.6381 train_acc=0.7763 | test_loss=0.8293 test_acc=0.6970 | lr=4.21e-04 | patience=0/25 (new best)
Epoch 028/100 | train_loss=0.6309 train_acc=0.7843 | test_loss=0.8294 test_acc=0.6936 | lr=4.15e-04 | patience=1/25
Epoch 029/100 | train_loss=0.6219 train_acc=0.7828 | test_loss=0.8284 test_acc=0.6936 | lr=4.10e-04 | patience=2/25
Epoch 030/100 | train_loss=0.6190 train_acc=0.7879 | test_loss=0.8252 test_acc=0.6987 | lr=4.03e-04 | patience=0/25 (new best)
Epoch 031/100 | train_loss=0.6146 train_acc=0.7951 | test_loss=0.8252 test_acc=0.6936 | lr=3.97e-04 | patience=1/25
Epoch 032/100 | train_loss=0.6127 train_acc=0.7929 | test_loss=0.8236 test_acc=0.6936 | lr=3.91e-04 | patience=2/25
Epoch 033/100 | train_loss=0.6004 train_acc=0.7908 | test_loss=0.8235 test_acc=0.6936 | lr=3.84e-04 | patience=3/25
Epoch 034/100 | train_loss=0.6076 train_acc=0.7958 | test_loss=0.8179 test_acc=0.6919 | lr=3.78e-04 | patience=4/25
Epoch 035/100 | train_loss=0.5968 train_acc=0.8023 | test_loss=0.8206 test_acc=0.6919 | lr=3.71e-04 | patience=5/25
Epoch 036/100 | train_loss=0.5935 train_acc=0.7922 | test_loss=0.8186 test_acc=0.6919 | lr=3.64e-04 | patience=6/25
Epoch 037/100 | train_loss=0.5885 train_acc=0.7958 | test_loss=0.8201 test_acc=0.6902 | lr=3.57e-04 | patience=7/25
Epoch 038/100 | train_loss=0.5874 train_acc=0.7944 | test_loss=0.8202 test_acc=0.6919 | lr=3.50e-04 | patience=8/25
Epoch 039/100 | train_loss=0.5768 train_acc=0.8016 | test_loss=0.8217 test_acc=0.6886 | lr=3.42e-04 | patience=9/25
Epoch 040/100 | train_loss=0.5777 train_acc=0.8016 | test_loss=0.8172 test_acc=0.6886 | lr=3.35e-04 | patience=10/25
Epoch 041/100 | train_loss=0.5684 train_acc=0.7929 | test_loss=0.8175 test_acc=0.6902 | lr=3.28e-04 | patience=11/25
Epoch 042/100 | train_loss=0.5646 train_acc=0.8124 | test_loss=0.8167 test_acc=0.6902 | lr=3.20e-04 | patience=12/25
Epoch 043/100 | train_loss=0.5787 train_acc=0.8059 | test_loss=0.8162 test_acc=0.6886 | lr=3.13e-04 | patience=13/25
Epoch 044/100 | train_loss=0.5682 train_acc=0.8023 | test_loss=0.8171 test_acc=0.6835 | lr=3.05e-04 | patience=14/25
Epoch 045/100 | train_loss=0.5604 train_acc=0.7893 | test_loss=0.8144 test_acc=0.6902 | lr=2.97e-04 | patience=15/25
Epoch 046/100 | train_loss=0.5621 train_acc=0.7973 | test_loss=0.8151 test_acc=0.6869 | lr=2.90e-04 | patience=16/25
Epoch 047/100 | train_loss=0.5582 train_acc=0.8102 | test_loss=0.8131 test_acc=0.6852 | lr=2.82e-04 | patience=17/25
Epoch 048/100 | train_loss=0.5605 train_acc=0.8117 | test_loss=0.8137 test_acc=0.6886 | lr=2.74e-04 | patience=18/25
Epoch 049/100 | train_loss=0.5564 train_acc=0.8023 | test_loss=0.8124 test_acc=0.6886 | lr=2.66e-04 | patience=19/25
Epoch 050/100 | train_loss=0.5524 train_acc=0.8110 | test_loss=0.8114 test_acc=0.6869 | lr=2.58e-04 | patience=20/25
Epoch 051/100 | train_loss=0.5539 train_acc=0.8160 | test_loss=0.8135 test_acc=0.6852 | lr=2.51e-04 | patience=21/25
Epoch 052/100 | train_loss=0.5462 train_acc=0.8030 | test_loss=0.8096 test_acc=0.6919 | lr=2.43e-04 | patience=22/25
Epoch 053/100 | train_loss=0.5484 train_acc=0.8153 | test_loss=0.8117 test_acc=0.6852 | lr=2.35e-04 | patience=23/25
Epoch 054/100 | train_loss=0.5618 train_acc=0.8081 | test_loss=0.8128 test_acc=0.6869 | lr=2.27e-04 | patience=24/25
Epoch 055/100 | train_loss=0.5489 train_acc=0.8045 | test_loss=0.8120 test_acc=0.6852 | lr=2.19e-04 | patience=25/25
Early stopping triggered at epoch 55.
best_acc=0.6987
best_epoch=30
best_checkpoint=checkpoints\roi_clip_baseline_lr5e4_seed43\best.pt
log_path=logs\roi_clip_baseline_lr5e4_seed43.log
