Run: roi_clip_fft_concat_seed44
Device: cuda | AMP: True
Protocol: official train/test only; no validation split is used.
Split: split_files | train=1386 test=594 classes=6
Epoch 001/100 | train_loss=1.6849 train_acc=0.3463 | test_loss=1.5279 test_acc=0.5623 | lr=5.00e-04 | patience=0/25 (new best)
Epoch 002/100 | train_loss=1.4145 train_acc=0.5952 | test_loss=1.3455 test_acc=0.6330 | lr=5.00e-04 | patience=0/25 (new best)
Epoch 003/100 | train_loss=1.2505 train_acc=0.6429 | test_loss=1.2141 test_acc=0.6532 | lr=5.00e-04 | patience=0/25 (new best)
Epoch 004/100 | train_loss=1.1362 train_acc=0.6703 | test_loss=1.1353 test_acc=0.6481 | lr=4.99e-04 | patience=1/25
Epoch 005/100 | train_loss=1.0476 train_acc=0.6912 | test_loss=1.0657 test_acc=0.6902 | lr=4.98e-04 | patience=0/25 (new best)
Epoch 006/100 | train_loss=0.9869 train_acc=0.6991 | test_loss=1.0249 test_acc=0.6768 | lr=4.97e-04 | patience=1/25
Epoch 007/100 | train_loss=0.9372 train_acc=0.7143 | test_loss=0.9928 test_acc=0.6700 | lr=4.96e-04 | patience=2/25
Epoch 008/100 | train_loss=0.8889 train_acc=0.7172 | test_loss=0.9711 test_acc=0.6768 | lr=4.94e-04 | patience=3/25
Epoch 009/100 | train_loss=0.8605 train_acc=0.7287 | test_loss=0.9436 test_acc=0.6801 | lr=4.92e-04 | patience=4/25
Epoch 010/100 | train_loss=0.8396 train_acc=0.7244 | test_loss=0.9309 test_acc=0.6734 | lr=4.90e-04 | patience=5/25
Epoch 011/100 | train_loss=0.8089 train_acc=0.7446 | test_loss=0.9142 test_acc=0.6801 | lr=4.88e-04 | patience=6/25
Epoch 012/100 | train_loss=0.7951 train_acc=0.7302 | test_loss=0.9070 test_acc=0.6869 | lr=4.85e-04 | patience=7/25
Epoch 013/100 | train_loss=0.7679 train_acc=0.7532 | test_loss=0.8920 test_acc=0.6801 | lr=4.82e-04 | patience=8/25
Epoch 014/100 | train_loss=0.7499 train_acc=0.7576 | test_loss=0.8829 test_acc=0.6936 | lr=4.79e-04 | patience=0/25 (new best)
Epoch 015/100 | train_loss=0.7401 train_acc=0.7489 | test_loss=0.8711 test_acc=0.6919 | lr=4.76e-04 | patience=1/25
Epoch 016/100 | train_loss=0.7216 train_acc=0.7554 | test_loss=0.8637 test_acc=0.6953 | lr=4.73e-04 | patience=0/25 (new best)
Epoch 017/100 | train_loss=0.7076 train_acc=0.7713 | test_loss=0.8633 test_acc=0.6919 | lr=4.69e-04 | patience=1/25
Epoch 018/100 | train_loss=0.7069 train_acc=0.7597 | test_loss=0.8533 test_acc=0.6902 | lr=4.65e-04 | patience=2/25
Epoch 019/100 | train_loss=0.6948 train_acc=0.7713 | test_loss=0.8486 test_acc=0.6869 | lr=4.61e-04 | patience=3/25
Epoch 020/100 | train_loss=0.6931 train_acc=0.7662 | test_loss=0.8586 test_acc=0.6902 | lr=4.57e-04 | patience=4/25
Epoch 021/100 | train_loss=0.6757 train_acc=0.7641 | test_loss=0.8497 test_acc=0.6818 | lr=4.52e-04 | patience=5/25
Epoch 022/100 | train_loss=0.6676 train_acc=0.7771 | test_loss=0.8442 test_acc=0.6785 | lr=4.48e-04 | patience=6/25
Epoch 023/100 | train_loss=0.6697 train_acc=0.7742 | test_loss=0.8368 test_acc=0.6886 | lr=4.43e-04 | patience=7/25
Epoch 024/100 | train_loss=0.6522 train_acc=0.7908 | test_loss=0.8358 test_acc=0.6936 | lr=4.38e-04 | patience=8/25
