Run: roi_frequency_only_seed42
Device: cuda | AMP: True
Protocol: official train/test only; no validation split is used.
Split: split_files | train=1386 test=594 classes=6
Epoch 001/100 | train_loss=1.8021 train_acc=0.1811 | test_loss=1.7823 test_acc=0.2121 | lr=1.00e-03 | patience=0/25 (new best)
Epoch 002/100 | train_loss=1.7937 train_acc=0.1876 | test_loss=1.7734 test_acc=0.1886 | lr=1.00e-03 | patience=1/25
Epoch 003/100 | train_loss=1.7793 train_acc=0.2071 | test_loss=1.7638 test_acc=0.2306 | lr=9.99e-04 | patience=0/25 (new best)
Epoch 004/100 | train_loss=1.7724 train_acc=0.1955 | test_loss=1.7700 test_acc=0.2222 | lr=9.98e-04 | patience=1/25
Epoch 005/100 | train_loss=1.7748 train_acc=0.2157 | test_loss=1.7560 test_acc=0.2357 | lr=9.96e-04 | patience=0/25 (new best)
Epoch 006/100 | train_loss=1.7676 train_acc=0.2215 | test_loss=1.7687 test_acc=0.2054 | lr=9.94e-04 | patience=1/25
Epoch 007/100 | train_loss=1.7701 train_acc=0.2100 | test_loss=1.7494 test_acc=0.2357 | lr=9.91e-04 | patience=2/25
Epoch 008/100 | train_loss=1.7590 train_acc=0.2266 | test_loss=1.7515 test_acc=0.2424 | lr=9.88e-04 | patience=0/25 (new best)
Epoch 009/100 | train_loss=1.7594 train_acc=0.2063 | test_loss=1.7455 test_acc=0.2424 | lr=9.84e-04 | patience=1/25
Epoch 010/100 | train_loss=1.7557 train_acc=0.2280 | test_loss=1.7541 test_acc=0.2357 | lr=9.80e-04 | patience=2/25
Epoch 011/100 | train_loss=1.7565 train_acc=0.2294 | test_loss=1.7405 test_acc=0.2458 | lr=9.76e-04 | patience=0/25 (new best)
Epoch 012/100 | train_loss=1.7459 train_acc=0.2439 | test_loss=1.7392 test_acc=0.2357 | lr=9.70e-04 | patience=1/25
Epoch 013/100 | train_loss=1.7463 train_acc=0.2367 | test_loss=1.7377 test_acc=0.2323 | lr=9.65e-04 | patience=2/25
Epoch 014/100 | train_loss=1.7478 train_acc=0.2482 | test_loss=1.7395 test_acc=0.2256 | lr=9.59e-04 | patience=3/25
Epoch 015/100 | train_loss=1.7453 train_acc=0.2280 | test_loss=1.7386 test_acc=0.2290 | lr=9.52e-04 | patience=4/25
