class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.10919648010961035,1.1971545664951055,0.020202020202020204
0,anger,low_0.30,0.19434965509601465,1.0746734374099307,0.1717171717171717
0,anger,low_0.50,0.4690474920031248,1.0045825617782997,0.5858585858585859
0,anger,full,0.4902674585787786,1.008713382512632,0.6060606060606061
1,disgust,low_0.15,0.24559110509833754,1.1863474057178305,0.26262626262626265
1,disgust,low_0.30,0.32901342189870775,1.0717286405840305,0.3939393939393939
1,disgust,low_0.50,0.45904666537212,1.0947613801167468,0.5454545454545454
1,disgust,full,0.6696923614545452,0.7901704544295566,0.8080808080808081
2,fear,low_0.15,0.6758874681862918,0.945705660440103,0.9595959595959596
2,fear,low_0.30,0.700672967716901,0.7897124613324801,0.8787878787878788
2,fear,low_0.50,0.5493550265414847,0.9305590504046642,0.7272727272727273
2,fear,full,0.5030397905431914,0.9543982211387518,0.6565656565656566
3,joy,low_0.15,0.5466030687093735,1.0440463423728943,0.7575757575757576
3,joy,low_0.30,0.7395320316456785,0.7466338898497399,0.9191919191919192
3,joy,low_0.50,0.677139180778253,0.8597898928806035,0.8686868686868687
3,joy,full,0.554166364662274,0.9685000307632216,0.7474747474747475
4,sadness,low_0.15,0.1684017227680394,1.1616474901786957,0.0707070707070707
4,sadness,low_0.30,0.35143604084397806,0.996272388431761,0.37373737373737376
4,sadness,low_0.50,0.5624364992283811,0.885554975782982,0.6868686868686869
4,sadness,full,0.6026212467313415,0.849593078171966,0.7373737373737373
5,surprise,low_0.15,0.17678985783284662,1.1999963314244242,0.12121212121212122
5,surprise,low_0.30,0.1750461879148703,1.0395987948986014,0.09090909090909091
5,surprise,low_0.50,0.2714208865613498,1.1460144760632756,0.2828282828282828
5,surprise,full,0.5239254037445091,0.9840334450656717,0.6666666666666666
