probe_name,run_name,model,seed,perturbation,class_idx,class_name,num_samples,acc
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,full,0,anger,99,0.6161616161616161
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,full,1,disgust,99,0.8181818181818182
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,full,2,fear,99,0.6767676767676768
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,full,3,joy,99,0.7676767676767676
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,full,4,sadness,99,0.6767676767676768
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,full,5,surprise,99,0.6161616161616161
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.15,0,anger,99,0.40404040404040403
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.15,1,disgust,99,0.21212121212121213
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.15,2,fear,99,0.9595959595959596
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.15,3,joy,99,0.35353535353535354
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.15,4,sadness,99,0.1919191919191919
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.15,5,surprise,99,0.12121212121212122
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.30,0,anger,99,0.5050505050505051
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.30,1,disgust,99,0.41414141414141414
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.30,2,fear,99,0.8888888888888888
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.30,3,joy,99,0.7171717171717171
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.30,4,sadness,99,0.42424242424242425
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.30,5,surprise,99,0.37373737373737376
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.50,0,anger,99,0.5353535353535354
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.50,1,disgust,99,0.6464646464646465
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.50,2,fear,99,0.7575757575757576
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.50,3,joy,99,0.8080808080808081
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.50,4,sadness,99,0.6060606060606061
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,low_0.50,5,surprise,99,0.45454545454545453
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.30,0,anger,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.30,1,disgust,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.30,2,fear,99,0.98989898989899
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.30,3,joy,99,0.020202020202020204
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.30,4,sadness,99,0.020202020202020204
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.30,5,surprise,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.50,0,anger,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.50,1,disgust,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.50,2,fear,99,1.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.50,3,joy,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.50,4,sadness,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,high_0.50,5,surprise,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.15_0.30,0,anger,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.15_0.30,1,disgust,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.15_0.30,2,fear,99,1.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.15_0.30,3,joy,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.15_0.30,4,sadness,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.15_0.30,5,surprise,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.30_0.50,0,anger,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.30_0.50,1,disgust,99,0.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.30_0.50,2,fear,99,1.0
roi_affectspectrum_film_seed44,roi_affectspectrum_film_seed44,film,44,band_0.30_0.50,3,joy,99,0.0
