class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.11858848780643463,0.710493739984937,0.010101010101010102
0,anger,low_0.30,0.215759097327203,0.7974455425030829,0.20202020202020202
0,anger,low_0.50,0.4849612884637382,1.0289819201435706,0.6363636363636364
0,anger,full,0.49001125520979516,1.0195937233440804,0.6161616161616161
1,disgust,low_0.15,0.2131375096570183,0.6556475496878255,0.18181818181818182
1,disgust,low_0.30,0.21981370889210153,0.8255680456052605,0.1717171717171717
1,disgust,low_0.50,0.5534820171505815,0.9750371314585209,0.6565656565656566
1,disgust,full,0.6763025705580308,0.7821663169547765,0.8181818181818182
2,fear,low_0.15,0.7544178977072773,0.39206870339968,0.8484848484848485
2,fear,low_0.30,0.7931660949581801,0.4532581238578602,0.9090909090909091
2,fear,low_0.50,0.5520040843673427,0.9326732912749955,0.7373737373737373
2,fear,full,0.5184118290140172,0.9556604023232604,0.6666666666666666
3,joy,low_0.15,0.32780015570196236,0.8033463106052765,0.2828282828282828
3,joy,low_0.30,0.5435914324521266,0.8440287238508871,0.6666666666666666
3,joy,low_0.50,0.617807068419878,0.9735009718422938,0.797979797979798
3,joy,full,0.5607946056007135,0.9860623204948926,0.7575757575757576
4,sadness,low_0.15,0.09565522219501849,0.6575699135273867,0.030303030303030304
4,sadness,low_0.30,0.25399419605994383,0.7278734988282576,0.26262626262626265
4,sadness,low_0.50,0.5726942545499163,0.8814308263286196,0.696969696969697
4,sadness,full,0.5953606488653506,0.8675417166316148,0.7272727272727273
5,surprise,low_0.15,0.0023889420846792886,0.7292938075591864,0.0
5,surprise,low_0.30,0.009637313256369292,0.8111286172416906,0.0
5,surprise,low_0.50,0.2810167426436274,1.1941067531253353,0.3333333333333333
5,surprise,full,0.48985376368944694,1.0342485734609643,0.6464646464646465
