path,label,class_name,stage,gt_prob,pred_prob,pred,correct,entropy
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\232.jpg,4,sadness,low_0.15,0.11359348148107529,0.4427018165588379,3,0,1.0376131534576416
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\232.jpg,0,anger,low_0.15,0.05483263358473778,0.511002779006958,2,0,1.0253677368164062
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\232.jpg,5,surprise,low_0.15,0.0015524682821705937,0.7385826706886292,2,0,0.8178436756134033
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\232.jpg,1,disgust,low_0.15,0.019510775804519653,0.7089112401008606,2,0,0.9186344146728516
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\232.jpg,2,fear,low_0.15,0.8716437816619873,0.8716437816619873,2,1,0.49125421047210693
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\233.jpg,2,fear,low_0.15,0.868177592754364,0.868177592754364,2,1,0.5200722813606262
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\233.jpg,0,anger,low_0.15,0.052801985293626785,0.9189274907112122,2,0,0.35770466923713684
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\233.jpg,1,disgust,low_0.15,0.09636302292346954,0.7193679213523865,2,0,0.9114599227905273
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\232.jpg,3,joy,low_0.15,0.06963173300027847,0.8435125946998596,2,0,0.6348775029182434
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\234.jpg,0,anger,low_0.15,0.20921790599822998,0.6989855766296387,2,0,0.8800480961799622
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\233.jpg,5,surprise,low_0.15,0.002852313918992877,0.7320799231529236,2,0,0.8757789134979248
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\233.jpg,4,sadness,low_0.15,0.7648634314537048,0.7648634314537048,4,1,0.6014187335968018
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\233.jpg,3,joy,low_0.15,0.07163168489933014,0.8427707552909851,2,0,0.6079701781272888
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\disgust\234.jpg,1,disgust,low_0.15,0.0019961725920438766,0.7944842576980591,2,0,0.7374572157859802
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\surprise\234.jpg,5,surprise,low_0.15,5.558839610841915e-09,0.5691490173339844,3,0,0.8560221791267395
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\fear\234.jpg,2,fear,low_0.15,0.8295785784721375,0.8295785784721375,2,1,0.6135969161987305
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\234.jpg,3,joy,low_0.15,0.55300372838974,0.55300372838974,3,1,0.9488474130630493
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\sadness\234.jpg,4,sadness,low_0.15,0.04286753386259079,0.8636395931243896,2,0,0.5470572113990784
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\235.jpg,0,anger,low_0.15,0.13691894710063934,0.7987271547317505,2,0,0.6853720545768738
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\anger\236.jpg,0,anger,low_0.15,0.400991290807724,0.571323037147522,2,0,0.8081607818603516
D:\OneDrive\Desktop\TEP-VEA\EmotionROI\images\joy\235.jpg,3,joy,low_0.15,0.40173041820526123,0.5283370614051819,2,0,0.9493478536605835
