probe_name,run_name,model,seed,perturbation,class_idx,class_name,num_samples,acc
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,full,0,anger,99,0.5858585858585859
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,full,1,disgust,99,0.8686868686868687
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,full,2,fear,99,0.6868686868686869
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,full,3,joy,99,0.7171717171717171
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,full,4,sadness,99,0.7171717171717171
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,full,5,surprise,99,0.6363636363636364
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.15,0,anger,99,0.32323232323232326
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.15,1,disgust,99,0.10101010101010101
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.15,2,fear,99,0.6767676767676768
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.15,3,joy,99,0.5353535353535354
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.15,4,sadness,99,0.2222222222222222
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.15,5,surprise,99,0.04040404040404041
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.30,0,anger,99,0.494949494949495
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.30,1,disgust,99,0.26262626262626265
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.30,2,fear,99,0.7272727272727273
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.30,3,joy,99,0.5858585858585859
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.30,4,sadness,99,0.40404040404040403
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.30,5,surprise,99,0.20202020202020202
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.50,0,anger,99,0.5757575757575758
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.50,1,disgust,99,0.7474747474747475
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.50,2,fear,99,0.7474747474747475
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.50,3,joy,99,0.7373737373737373
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.50,4,sadness,99,0.6464646464646465
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,low_0.50,5,surprise,99,0.5252525252525253
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.30,0,anger,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.30,1,disgust,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.30,2,fear,99,1.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.30,3,joy,99,0.010101010101010102
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.30,4,sadness,99,0.020202020202020204
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.30,5,surprise,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.50,0,anger,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.50,1,disgust,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.50,2,fear,99,1.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.50,3,joy,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.50,4,sadness,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,high_0.50,5,surprise,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.15_0.30,0,anger,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.15_0.30,1,disgust,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.15_0.30,2,fear,99,1.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.15_0.30,3,joy,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.15_0.30,4,sadness,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.15_0.30,5,surprise,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.30_0.50,0,anger,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.30_0.50,1,disgust,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.30_0.50,2,fear,99,1.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.30_0.50,3,joy,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.30_0.50,4,sadness,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.30_0.50,5,surprise,99,0.0
roi_clip_fft_concat_seed43,roi_clip_fft_concat_seed43,concat,43,band_0.50_0.75,0,anger,99,0.0
