model,seed,perturbation,acc,macro_f1,delta_acc_vs_full,delta_macro_f1_vs_full
film,42,full,0.702020202020202,0.7039882014115583,0.0,0.0
film,42,low_0.15,0.3501683501683502,0.2755505566999433,-0.3518518518518518,-0.42843764471161494
film,42,low_0.30,0.4781144781144781,0.43605267494732386,-0.22390572390572389,-0.2679355264642344
film,42,low_0.50,0.6346801346801347,0.6273126293408549,-0.06734006734006726,-0.07667557207070341
film,42,high_0.30,0.1734006734006734,0.06419586953535393,-0.5286195286195285,-0.6397923318762043
film,42,high_0.50,0.16666666666666666,0.04775687409551375,-0.5353535353535354,-0.6562313273160445
film,42,band_0.15_0.30,0.16666666666666666,0.047619047619047616,-0.5353535353535354,-0.6563691537925107
film,42,band_0.30_0.50,0.16666666666666666,0.047619047619047616,-0.5353535353535354,-0.6563691537925107
film,42,band_0.50_0.75,0.16666666666666666,0.0476878612716763,-0.5353535353535354,-0.6563003401398819
film,42,blur_light,0.35353535353535354,0.3335088394604871,-0.34848484848484845,-0.3704793619510712
film,42,blur_heavy,0.21885521885521886,0.13664980331663498,-0.48316498316498313,-0.5673383980949233
film,42,downsample_x2,0.6127946127946128,0.6191368011718205,-0.08922558922558921,-0.0848514002397378
film,42,downsample_x4,0.41245791245791247,0.37672184030870987,-0.2895622895622895,-0.3272663611028484
film,42,amplitude_noise_0.05,0.6767676767676768,0.6792969976315179,-0.025252525252525193,-0.024691203780040416
film,42,amplitude_noise_0.10,0.6734006734006734,0.6748469266703645,-0.028619528619528545,-0.029141274741193768
film,42,phase_noise_0.05,0.6801346801346801,0.6822955912974663,-0.02188552188552184,-0.02169261011409196
film,42,phase_noise_0.10,0.6818181818181818,0.6828445863843705,-0.02020202020202022,-0.021143615027187757
film,43,full,0.7037037037037037,0.7064177164177164,0.0,0.0
film,43,low_0.15,0.3653198653198653,0.28798572809356937,-0.3383838383838384,-0.4184319883241471
film,43,low_0.30,0.4713804713804714,0.42950473837736597,-0.23232323232323232,-0.2769129780403505
film,43,low_0.50,0.6161616161616161,0.6081867123420075,-0.08754208754208759,-0.09823100407570895
