perturbation,baseline_mean_acc,concat_mean_acc,film_mean_acc,concat_mean_delta_vs_baseline,film_mean_delta_vs_baseline,baseline_mean_drop_vs_full,concat_mean_drop_vs_full,film_mean_drop_vs_full
full,0.6980920314253648,0.7053872053872053,0.7003367003367004,0.0072951739618406135,0.002244668911335568,0.0,0.0,0.0
low_0.15,0.4898989898989899,0.27048260381593714,0.36307519640852975,-0.21941638608305278,-0.12682379349046016,0.20819304152637486,0.43490460157126826,0.33726150392817056
low_0.30,0.6077441077441077,0.3866442199775533,0.5011223344556678,-0.22109988776655443,-0.10662177328843996,0.09034792368125703,0.31874298540965207,0.19921436588103256
low_0.50,0.6661054994388328,0.654320987654321,0.6285072951739619,-0.011784511784511786,-0.03759820426487089,0.03198653198653201,0.05106621773288441,0.07182940516273846
high_0.30,0.17115600448933782,0.1728395061728395,0.1728395061728395,0.0016835016835016758,0.0016835016835016758,0.5269360269360269,0.532547699214366,0.5274971941638608
high_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5314253647586982,0.5387205387205387,0.5336700336700337
band_0.15_0.30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5314253647586982,0.5387205387205387,0.5336700336700337
band_0.30_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5314253647586982,0.5387205387205387,0.5336700336700337
band_0.50_0.75,0.16666666666666666,0.16610549943883277,0.16666666666666666,-0.000561167227833892,0.0,0.5314253647586982,0.5392817059483727,0.5336700336700337
blur_light,0.5578002244668911,0.34231200897867564,0.3945005611672278,-0.21548821548821548,-0.1632996632996633,0.14029180695847362,0.3630751964085297,0.3058361391694725
blur_heavy,0.3372615039281706,0.22166105499438832,0.22671156004489337,-0.11560044893378228,-0.11054994388327724,0.36083052749719413,0.4837261503928171,0.47362514029180697
downsample_x2,0.6453423120089787,0.6492704826038159,0.6318742985409652,0.003928170594837262,-0.013468013468013481,0.052749719416386065,0.05611672278338942,0.06846240179573511
downsample_x4,0.5953984287317621,0.43434343434343436,0.46352413019079686,-0.1610549943883277,-0.13187429854096522,0.10269360269360268,0.27104377104377103,0.23681257014590348
amplitude_noise_0.05,0.6700336700336701,0.6778900112233446,0.6750841750841751,0.007856341189674487,0.005050505050505046,0.02805836139169471,0.027497194163860834,0.02525252525252523
amplitude_noise_0.10,0.6711560044893379,0.6795735129068463,0.6711560044893379,0.008417508417508435,0.0,0.026936026936026924,0.025813692480359102,0.029180695847362492
phase_noise_0.05,0.6655443322109988,0.6801346801346801,0.6790123456790124,0.014590347923681265,0.013468013468013443,0.03254769921436588,0.02525252525252523,0.021324354657688005
phase_noise_0.10,0.6773288439955106,0.6840628507295174,0.6801346801346801,0.006734006734006741,0.002805836139169441,0.020763187429854096,0.021324354657687967,0.02020202020202022
