epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.658455,0.360750,1.493824,0.622896,5.00000000e-04,73.486,73.460,0.026,73.486,0
2,1.383582,0.593074,1.303704,0.656566,4.99876887e-04,6.167,6.153,0.014,6.167,0
3,1.211317,0.645743,1.173247,0.658249,4.99507669e-04,6.292,6.276,0.016,6.292,0
4,1.099269,0.674603,1.090623,0.670034,4.98892710e-04,6.561,6.545,0.016,6.561,0
5,1.015502,0.684704,1.027436,0.691919,4.98032618e-04,6.454,6.440,0.014,6.454,0
6,0.960937,0.689033,0.987046,0.693603,4.96928241e-04,6.662,6.646,0.016,6.662,0
7,0.904709,0.707792,0.957583,0.690236,4.95580669e-04,6.601,6.593,0.008,6.601,1
8,0.862783,0.713564,0.934951,0.695286,4.93991232e-04,6.551,6.537,0.014,6.551,0
9,0.822980,0.735209,0.913585,0.685185,4.92161499e-04,6.569,6.561,0.008,6.569,1
10,0.817584,0.727994,0.898853,0.685185,4.90093275e-04,6.541,6.532,0.008,6.541,2
11,0.782788,0.745310,0.884958,0.685185,4.87788601e-04,6.628,6.620,0.008,6.628,3
12,0.768641,0.746032,0.877989,0.690236,4.85249752e-04,6.589,6.581,0.008,6.589,4
13,0.738530,0.752525,0.865889,0.685185,4.82479233e-04,6.516,6.509,0.007,6.516,5
14,0.728100,0.758297,0.856855,0.693603,4.79479779e-04,6.526,6.517,0.008,6.526,6
15,0.715423,0.749639,0.847761,0.690236,4.76254350e-04,6.549,6.541,0.009,6.549,7
16,0.698307,0.766955,0.841515,0.686869,4.72806128e-04,6.582,6.575,0.008,6.582,8
17,0.689257,0.769120,0.841518,0.691919,4.69138517e-04,6.520,6.512,0.008,6.520,9
18,0.680923,0.766955,0.833479,0.695286,4.65255136e-04,6.543,6.535,0.009,6.543,10
19,0.674544,0.767677,0.830497,0.680135,4.61159817e-04,6.526,6.519,0.007,6.526,11
20,0.675764,0.760462,0.834447,0.686869,4.56856603e-04,6.583,6.576,0.007,6.583,12
21,0.666579,0.770563,0.831496,0.686869,4.52349740e-04,6.551,6.543,0.008,6.551,13
22,0.641857,0.780664,0.825954,0.683502,4.47643676e-04,6.605,6.597,0.008,6.605,14
23,0.649146,0.779942,0.822401,0.688552,4.42743054e-04,6.520,6.512,0.008,6.520,15
24,0.631639,0.779942,0.818450,0.680135,4.37652712e-04,6.580,6.573,0.007,6.580,16
25,0.631295,0.784993,0.821824,0.678451,4.32377673e-04,6.483,6.476,0.008,6.483,17
26,0.615432,0.783550,0.815324,0.690236,4.26923142e-04,6.542,6.534,0.009,6.542,18
27,0.618604,0.773449,0.822468,0.678451,4.21294503e-04,6.508,6.500,0.009,6.508,19
28,0.608098,0.796537,0.817354,0.683502,4.15497310e-04,6.587,6.579,0.008,6.587,20
29,0.613671,0.787879,0.814339,0.685185,4.09537285e-04,6.580,6.572,0.008,6.580,21
30,0.597761,0.796537,0.814727,0.686869,4.03420310e-04,6.526,6.517,0.008,6.526,22
31,0.587047,0.789322,0.814278,0.695286,3.97152420e-04,6.506,6.497,0.008,6.506,23
32,0.595327,0.795094,0.813170,0.688552,3.90739803e-04,6.594,6.586,0.008,6.594,24
33,0.575124,0.794372,0.814302,0.688552,3.84188785e-04,6.552,6.544,0.009,6.552,25
