epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter,train_response_loss,test_response_loss,train_gate_mean,test_gate_mean
1,1.451600,0.522367,0.934046,0.664983,5.00000000e-04,53.420,53.375,0.044,53.420,0,1.791515,1.778814,0.107290,0.005839
2,0.983077,0.705628,0.882024,0.661616,4.99876887e-04,5.862,5.846,0.016,5.862,1,1.785689,1.776438,0.028594,0.076080
3,0.898874,0.737374,0.831644,0.691919,4.99507669e-04,5.878,5.850,0.027,5.878,0,1.784263,1.772420,0.078842,0.001129
4,0.835061,0.762626,0.788833,0.712121,4.98892710e-04,5.886,5.859,0.027,5.886,0,1.781026,1.773335,0.000340,0.000317
5,0.764870,0.792208,0.804936,0.695286,4.98032618e-04,6.059,6.043,0.016,6.059,1,1.779649,1.769168,0.000357,0.000418
6,0.747666,0.782828,0.864306,0.683502,4.96928241e-04,5.896,5.881,0.016,5.896,2,1.775619,1.767008,0.000377,0.000275
7,0.698445,0.798701,0.858107,0.683502,4.95580669e-04,5.871,5.856,0.014,5.871,3,1.775761,1.762875,0.000290,0.000334
8,0.658249,0.830447,0.817520,0.705387,4.93991232e-04,5.828,5.813,0.015,5.828,4,1.773938,1.762737,0.000422,0.000469
9,0.629426,0.835498,0.868942,0.673401,4.92161499e-04,5.863,5.843,0.021,5.863,5,1.771299,1.758676,0.000409,0.000349
10,0.604889,0.844156,0.841281,0.698653,4.90093275e-04,5.882,5.867,0.015,5.882,6,1.768395,1.757355,0.000451,0.000631
11,0.570641,0.860750,0.849755,0.705387,4.87788601e-04,5.889,5.872,0.016,5.889,7,1.763678,1.754971,0.005830,0.001654
12,0.557636,0.862193,0.863042,0.707071,4.85249752e-04,5.859,5.844,0.015,5.859,8,1.762340,1.753035,0.000184,0.000009
13,0.512839,0.874459,0.911862,0.691919,4.82479233e-04,5.869,5.855,0.015,5.869,9,1.760560,1.752105,0.000014,0.000008
14,0.507546,0.878066,0.923266,0.695286,4.79479779e-04,5.881,5.867,0.014,5.881,10,1.764298,1.750820,0.000018,0.000013
15,0.477173,0.894661,0.919704,0.688552,4.76254350e-04,5.871,5.855,0.016,5.871,11,1.757340,1.747047,0.000038,0.000016
16,0.474395,0.886724,0.923104,0.686869,4.72806128e-04,5.857,5.842,0.015,5.857,12,1.757772,1.747236,0.000030,0.000019
17,0.447724,0.902597,0.978464,0.691919,4.69138517e-04,5.927,5.912,0.015,5.927,13,1.751675,1.747528,0.000033,0.000020
18,0.440530,0.906926,0.969365,0.688552,4.65255136e-04,5.858,5.842,0.016,5.858,14,1.752164,1.742749,0.000041,0.000025
19,0.410275,0.914863,0.958199,0.696970,4.61159817e-04,5.908,5.891,0.017,5.908,15,1.751718,1.742253,0.000051,0.000028
20,0.402939,0.925685,0.954601,0.703704,4.56856603e-04,6.136,6.119,0.017,6.136,16,1.749798,1.745287,0.000054,0.000032
21,0.375100,0.932179,1.035196,0.680135,4.52349740e-04,6.618,6.602,0.016,6.618,17,1.752710,1.740945,0.000051,0.000028
22,0.356020,0.944444,1.022209,0.688552,4.47643676e-04,6.484,6.466,0.018,6.484,18,1.747174,1.740512,0.000064,0.000038
23,0.367755,0.935786,0.995685,0.691919,4.42743054e-04,6.464,6.449,0.015,6.464,19,1.745399,1.740653,0.000083,0.000066
24,0.339617,0.946609,1.034038,0.686869,4.37652712e-04,6.447,6.431,0.016,6.447,20,1.747532,1.743510,0.000149,0.000106
25,0.336533,0.953824,1.048918,0.708754,4.32377673e-04,6.519,6.503,0.016,6.519,21,1.745279,1.737186,0.000326,0.000174
26,0.304483,0.960317,1.097594,0.695286,4.26923142e-04,6.336,6.319,0.017,6.336,22,1.743127,1.739544,0.000438,0.000344
27,0.311510,0.958153,1.099495,0.693603,4.21294503e-04,6.299,6.284,0.015,6.299,23,1.745272,1.742382,0.000467,0.000140
28,0.289028,0.971140,1.083285,0.703704,4.15497310e-04,6.310,6.296,0.014,6.310,24,1.743886,1.737340,0.000223,0.000209
29,0.297411,0.960317,1.080770,0.708754,4.09537285e-04,6.294,6.280,0.014,6.294,25,1.744078,1.739505,0.000297,0.000165
