epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.671531,0.363636,1.526100,0.555556,5.00000000e-04,59.502,59.481,0.020,59.502,0
2,1.413640,0.608225,1.342692,0.634680,4.99876887e-04,6.280,6.273,0.006,6.280,0
3,1.245525,0.662338,1.219756,0.649832,4.99507669e-04,6.298,6.294,0.005,6.298,0
4,1.136259,0.675325,1.133933,0.668350,4.98892710e-04,6.305,6.299,0.005,6.305,0
5,1.048457,0.696970,1.070800,0.680135,4.98032618e-04,6.346,6.342,0.004,6.346,0
6,0.986507,0.716450,1.027987,0.681818,4.96928241e-04,6.300,6.296,0.004,6.300,0
7,0.926325,0.709235,0.994809,0.680135,4.95580669e-04,6.318,6.315,0.003,6.318,1
8,0.896121,0.721501,0.966613,0.683502,4.93991232e-04,6.313,6.307,0.005,6.313,0
9,0.860565,0.739538,0.945264,0.683502,4.92161499e-04,6.355,6.352,0.003,6.355,1
10,0.831414,0.733766,0.928284,0.675084,4.90093275e-04,6.306,6.302,0.003,6.306,2
11,0.808960,0.751804,0.912660,0.678451,4.87788601e-04,6.253,6.250,0.003,6.253,3
12,0.787766,0.735931,0.901472,0.681818,4.85249752e-04,6.283,6.281,0.003,6.283,4
13,0.770577,0.749639,0.891094,0.683502,4.82479233e-04,6.319,6.317,0.003,6.319,5
14,0.757527,0.746753,0.880490,0.683502,4.79479779e-04,6.296,6.293,0.003,6.296,6
15,0.735153,0.764069,0.873395,0.686869,4.76254350e-04,6.322,6.317,0.005,6.322,0
16,0.731596,0.756133,0.867369,0.691919,4.72806128e-04,6.305,6.301,0.004,6.305,0
17,0.721848,0.758297,0.861135,0.691919,4.69138517e-04,6.329,6.326,0.003,6.329,1
18,0.700236,0.765512,0.853620,0.690236,4.65255136e-04,6.296,6.292,0.004,6.296,2
19,0.695205,0.768398,0.850885,0.691919,4.61159817e-04,6.102,6.099,0.002,6.102,3
20,0.687799,0.764791,0.845510,0.690236,4.56856603e-04,5.986,5.982,0.004,5.986,4
21,0.676982,0.769841,0.840223,0.698653,4.52349740e-04,6.006,6.001,0.005,6.006,0
22,0.655734,0.770563,0.841738,0.685185,4.47643676e-04,6.075,6.072,0.003,6.075,1
23,0.667854,0.772006,0.836876,0.688552,4.42743054e-04,6.229,6.226,0.003,6.229,2
24,0.661008,0.776335,0.831731,0.691919,4.37652712e-04,6.036,6.031,0.005,6.036,3
25,0.638104,0.784271,0.832317,0.691919,4.32377673e-04,6.179,6.175,0.003,6.179,4
26,0.633179,0.782107,0.827032,0.696970,4.26923142e-04,6.159,6.155,0.004,6.159,5
27,0.632722,0.781385,0.829065,0.691919,4.21294503e-04,6.342,6.340,0.002,6.342,6
28,0.628462,0.787157,0.826258,0.690236,4.15497310e-04,6.459,6.456,0.003,6.459,7
29,0.631346,0.787879,0.823137,0.693603,4.09537285e-04,6.401,6.397,0.004,6.401,8
30,0.615391,0.785714,0.820428,0.690236,4.03420310e-04,6.365,6.361,0.004,6.365,9
31,0.618780,0.786436,0.818896,0.693603,3.97152420e-04,6.344,6.341,0.003,6.344,10
32,0.611709,0.787879,0.818255,0.690236,3.90739803e-04,6.403,6.400,0.003,6.403,11
33,0.599384,0.801587,0.819190,0.691919,3.84188785e-04,6.313,6.309,0.004,6.313,12
34,0.595584,0.790765,0.818801,0.691919,3.77505833e-04,6.417,6.414,0.003,6.417,13
35,0.598932,0.787157,0.817677,0.690236,3.70697542e-04,5.996,5.992,0.004,5.996,14
36,0.599819,0.793651,0.815978,0.691919,3.63770630e-04,5.987,5.984,0.003,5.987,15
37,0.587324,0.803752,0.814467,0.693603,3.56731933e-04,6.141,6.139,0.002,6.141,16
38,0.588101,0.801587,0.815396,0.693603,3.49588399e-04,6.200,6.196,0.004,6.200,17
39,0.580378,0.800144,0.812111,0.686869,3.42347076e-04,6.106,6.103,0.003,6.106,18
40,0.595208,0.784271,0.811388,0.688552,3.35015111e-04,6.020,6.017,0.003,6.020,19
41,0.572367,0.797980,0.812415,0.690236,3.27599740e-04,5.959,5.957,0.003,5.959,20
42,0.581380,0.807359,0.810718,0.691919,3.20108281e-04,5.903,5.901,0.003,5.903,21
43,0.562705,0.804473,0.810917,0.690236,3.12548127e-04,5.930,5.927,0.003,5.930,22
44,0.569680,0.797258,0.810691,0.690236,3.04926739e-04,5.998,5.995,0.003,5.998,23
45,0.572216,0.797980,0.806664,0.693603,2.97251638e-04,5.990,5.987,0.003,5.990,24
46,0.557715,0.800866,0.810598,0.688552,2.89530399e-04,6.128,6.126,0.002,6.128,25
