epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.577909,0.443001,1.359506,0.616162,1.00000000e-03,70.576,70.553,0.021,70.576,0
2,1.205051,0.655123,1.138224,0.664983,9.99753527e-04,6.002,5.996,0.006,6.002,0
3,1.020370,0.687590,1.030814,0.673401,9.99014351e-04,6.011,6.005,0.005,6.011,0
4,0.924135,0.707792,0.968143,0.675084,9.97783201e-04,5.993,5.987,0.006,5.993,0
5,0.855880,0.725108,0.931106,0.675084,9.96061293e-04,6.083,6.080,0.003,6.083,1
6,0.805724,0.736652,0.898651,0.686869,9.93850326e-04,6.076,6.073,0.003,6.076,0
7,0.768386,0.743146,0.880861,0.678451,9.91152482e-04,5.870,5.867,0.004,5.870,1
8,0.739796,0.743146,0.869203,0.685185,9.87970423e-04,6.022,6.019,0.004,6.022,2
9,0.719790,0.760462,0.851341,0.683502,9.84307289e-04,5.958,5.955,0.003,5.958,3
10,0.693671,0.755411,0.844105,0.693603,9.80166696e-04,6.155,6.151,0.004,6.155,0
11,0.672488,0.777056,0.844685,0.673401,9.75552730e-04,5.894,5.892,0.003,5.894,1
12,0.655341,0.778499,0.832473,0.693603,9.70469944e-04,5.888,5.885,0.004,5.888,2
13,0.646766,0.777778,0.831647,0.686869,9.64923355e-04,5.906,5.903,0.003,5.906,3
14,0.642096,0.778499,0.821823,0.690236,9.58918436e-04,5.857,5.852,0.005,5.857,4
15,0.618997,0.771284,0.830982,0.686869,9.52461113e-04,5.941,5.938,0.003,5.941,5
16,0.617455,0.785714,0.824644,0.686869,9.45557759e-04,5.964,5.960,0.004,5.964,6
17,0.616518,0.784993,0.816992,0.685185,9.38215187e-04,5.952,5.949,0.003,5.952,7
18,0.581546,0.800144,0.820056,0.683502,9.30440642e-04,5.939,5.936,0.003,5.939,8
19,0.580913,0.796537,0.817483,0.685185,9.22241799e-04,5.900,5.897,0.003,5.900,9
20,0.573065,0.814574,0.821101,0.688552,9.13626747e-04,6.407,6.403,0.004,6.407,10
21,0.566222,0.797258,0.811593,0.690236,9.04603989e-04,7.635,7.632,0.003,7.635,11
22,0.561943,0.803752,0.819675,0.688552,8.95182429e-04,5.932,5.929,0.003,5.932,12
23,0.549147,0.807359,0.811785,0.686869,8.85371365e-04,5.828,5.826,0.003,5.828,13
24,0.554128,0.805916,0.814196,0.688552,8.75180479e-04,5.852,5.848,0.004,5.852,14
25,0.555820,0.808802,0.815945,0.681818,8.64619829e-04,5.952,5.947,0.005,5.952,15
26,0.544003,0.803752,0.814213,0.686869,8.53699837e-04,5.970,5.966,0.004,5.970,16
27,0.539829,0.808802,0.811499,0.688552,8.42431279e-04,5.956,5.953,0.003,5.956,17
28,0.534814,0.823232,0.819570,0.678451,8.30825277e-04,5.988,5.986,0.002,5.988,18
29,0.517254,0.821789,0.813100,0.691919,8.18893283e-04,6.051,6.048,0.003,6.051,19
30,0.525098,0.813131,0.814027,0.686869,8.06647073e-04,5.961,5.958,0.003,5.961,20
31,0.528323,0.816739,0.810955,0.686869,7.94098734e-04,5.906,5.903,0.003,5.906,21
32,0.521098,0.813131,0.817963,0.683502,7.81260647e-04,5.921,5.918,0.003,5.921,22
33,0.502707,0.832612,0.815054,0.683502,7.68145484e-04,5.988,5.984,0.003,5.988,23
34,0.509340,0.816739,0.812929,0.686869,7.54766187e-04,5.988,5.985,0.003,5.988,24
35,0.496652,0.829004,0.815805,0.686869,7.41135960e-04,5.901,5.898,0.004,5.901,25
