epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.684861,0.346320,1.527859,0.562290,5.00000000e-04,61.755,61.733,0.021,61.755,0
2,1.414483,0.595238,1.345477,0.632997,4.99876887e-04,6.448,6.440,0.008,6.448,0
3,1.250508,0.642857,1.214133,0.653199,4.99507669e-04,6.176,6.168,0.008,6.176,0
4,1.136232,0.670274,1.135252,0.648148,4.98892710e-04,6.196,6.189,0.007,6.196,1
5,1.047602,0.691198,1.065696,0.690236,4.98032618e-04,6.342,6.335,0.007,6.342,0
6,0.986942,0.699134,1.024920,0.676768,4.96928241e-04,6.423,6.418,0.005,6.423,1
7,0.937209,0.714286,0.992770,0.670034,4.95580669e-04,6.301,6.295,0.005,6.301,2
8,0.888913,0.717172,0.971062,0.676768,4.93991232e-04,6.209,6.206,0.003,6.209,3
9,0.860549,0.728716,0.943567,0.680135,4.92161499e-04,6.332,6.327,0.005,6.332,4
10,0.839605,0.724387,0.930874,0.673401,4.90093275e-04,6.280,6.276,0.004,6.280,5
11,0.808859,0.744589,0.914188,0.680135,4.87788601e-04,6.167,6.161,0.006,6.167,6
12,0.795139,0.730159,0.907019,0.686869,4.85249752e-04,6.199,6.194,0.005,6.199,7
13,0.767928,0.753247,0.892022,0.680135,4.82479233e-04,6.246,6.242,0.004,6.246,8
14,0.749917,0.757576,0.882945,0.693603,4.79479779e-04,6.311,6.304,0.007,6.311,0
15,0.740064,0.748918,0.871109,0.691919,4.76254350e-04,6.298,6.293,0.005,6.298,1
16,0.721634,0.755411,0.863699,0.695286,4.72806128e-04,6.410,6.402,0.008,6.410,0
17,0.707564,0.771284,0.863312,0.691919,4.69138517e-04,6.283,6.279,0.004,6.283,1
18,0.706895,0.759740,0.853311,0.690236,4.65255136e-04,6.131,6.126,0.005,6.131,2
19,0.694781,0.771284,0.848626,0.686869,4.61159817e-04,6.103,6.081,0.022,6.103,3
20,0.693050,0.766234,0.858610,0.690236,4.56856603e-04,6.371,6.365,0.006,6.371,4
21,0.675747,0.764069,0.849662,0.681818,4.52349740e-04,6.266,6.262,0.004,6.266,5
22,0.667634,0.777056,0.844175,0.678451,4.47643676e-04,6.146,6.141,0.005,6.146,6
23,0.669717,0.774170,0.836783,0.688552,4.42743054e-04,6.226,6.221,0.005,6.226,7
24,0.652208,0.790765,0.835758,0.693603,4.37652712e-04,6.170,6.165,0.005,6.170,8
25,0.650506,0.772727,0.836606,0.681818,4.32377673e-04,6.205,6.200,0.006,6.205,9
26,0.629442,0.786436,0.830412,0.681818,4.26923142e-04,6.379,6.374,0.004,6.379,10
27,0.628003,0.792929,0.838482,0.680135,4.21294503e-04,6.175,6.170,0.005,6.175,11
28,0.626689,0.795094,0.830936,0.685185,4.15497310e-04,6.214,6.210,0.004,6.214,12
29,0.618645,0.797980,0.826330,0.690236,4.09537285e-04,6.207,6.202,0.005,6.207,13
30,0.627661,0.787157,0.826760,0.681818,4.03420310e-04,6.509,6.504,0.005,6.509,14
31,0.604477,0.784271,0.823093,0.696970,3.97152420e-04,6.462,6.455,0.007,6.462,0
32,0.598069,0.789322,0.821183,0.691919,3.90739803e-04,6.399,6.393,0.006,6.399,1
33,0.592906,0.795815,0.820684,0.690236,3.84188785e-04,6.379,6.373,0.006,6.379,2
34,0.587232,0.800866,0.821437,0.688552,3.77505833e-04,6.311,6.307,0.004,6.311,3
35,0.608069,0.787157,0.821289,0.688552,3.70697542e-04,6.357,6.352,0.005,6.357,4
36,0.591686,0.803752,0.818799,0.693603,3.63770630e-04,6.326,6.320,0.006,6.326,5
37,0.583918,0.803752,0.813863,0.696970,3.56731933e-04,6.479,6.474,0.005,6.479,6
38,0.580665,0.790765,0.818381,0.683502,3.49588399e-04,6.464,6.458,0.005,6.464,7
39,0.582348,0.799423,0.812000,0.690236,3.42347076e-04,6.436,6.431,0.005,6.436,8
40,0.588104,0.799423,0.814624,0.688552,3.35015111e-04,6.091,6.087,0.004,6.091,9
