epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter
1,1.802117,0.181097,1.782341,0.212121,1.00000000e-03,52.462,52.441,0.021,52.462,0
2,1.793720,0.187590,1.773413,0.188552,9.99753527e-04,4.005,4.002,0.003,4.005,1
3,1.779263,0.207071,1.763818,0.230640,9.99014351e-04,3.364,3.358,0.006,3.364,0
4,1.772369,0.195527,1.769954,0.222222,9.97783201e-04,2.764,2.761,0.003,2.764,1
5,1.774838,0.215729,1.755987,0.235690,9.96061293e-04,2.622,2.617,0.005,2.622,0
6,1.767602,0.221501,1.768693,0.205387,9.93850326e-04,2.770,2.767,0.003,2.770,1
7,1.770064,0.209957,1.749419,0.235690,9.91152482e-04,2.505,2.502,0.002,2.505,2
8,1.758984,0.226551,1.751492,0.242424,9.87970423e-04,2.822,2.817,0.005,2.822,0
9,1.759447,0.206349,1.745522,0.242424,9.84307289e-04,2.853,2.849,0.004,2.853,1
10,1.755687,0.227994,1.754092,0.235690,9.80166696e-04,2.642,2.639,0.003,2.642,2
11,1.756486,0.229437,1.740476,0.245791,9.75552730e-04,2.712,2.707,0.005,2.712,0
12,1.745853,0.243867,1.739209,0.235690,9.70469944e-04,2.473,2.470,0.003,2.473,1
13,1.746261,0.236652,1.737736,0.232323,9.64923355e-04,2.415,2.412,0.003,2.415,2
14,1.747833,0.248196,1.739478,0.225589,9.58918436e-04,2.510,2.507,0.003,2.510,3
15,1.745341,0.227994,1.738580,0.228956,9.52461113e-04,2.489,2.486,0.003,2.489,4
16,1.740991,0.243867,1.734315,0.235690,9.45557759e-04,2.536,2.533,0.003,2.536,5
17,1.749294,0.225108,1.745311,0.225589,9.38215187e-04,2.418,2.415,0.003,2.418,6
18,1.745481,0.241703,1.735367,0.245791,9.30440642e-04,2.532,2.529,0.003,2.532,7
19,1.733078,0.261183,1.730656,0.234007,9.22241799e-04,2.567,2.565,0.002,2.567,8
20,1.737985,0.239538,1.739054,0.245791,9.13626747e-04,2.686,2.682,0.004,2.686,9
21,1.737652,0.252525,1.744843,0.218855,9.04603989e-04,2.818,2.815,0.003,2.818,10
22,1.737856,0.238095,1.731553,0.254209,8.95182429e-04,2.571,2.565,0.005,2.571,0
23,1.735807,0.238817,1.731581,0.262626,8.85371365e-04,2.471,2.466,0.005,2.471,0
24,1.729453,0.246753,1.728464,0.245791,8.75180479e-04,2.447,2.443,0.003,2.447,1
25,1.730988,0.251804,1.731421,0.227273,8.64619829e-04,2.445,2.443,0.003,2.445,2
26,1.732066,0.248196,1.733626,0.242424,8.53699837e-04,2.450,2.447,0.003,2.450,3
27,1.733582,0.248918,1.736858,0.234007,8.42431279e-04,2.393,2.391,0.003,2.393,4
28,1.721677,0.256133,1.728419,0.260943,8.30825277e-04,2.401,2.398,0.003,2.401,5
29,1.717001,0.255411,1.732413,0.260943,8.18893283e-04,2.355,2.352,0.003,2.355,6
30,1.729048,0.251082,1.738307,0.215488,8.06647073e-04,2.366,2.362,0.004,2.366,7
31,1.721703,0.257576,1.745357,0.213805,7.94098734e-04,2.351,2.349,0.002,2.351,8
32,1.718959,0.266234,1.740419,0.244108,7.81260647e-04,2.363,2.359,0.003,2.363,9
33,1.722032,0.249639,1.732772,0.240741,7.68145484e-04,2.434,2.431,0.003,2.434,10
34,1.719988,0.262626,1.747706,0.230640,7.54766187e-04,2.385,2.382,0.003,2.385,11
35,1.723069,0.249639,1.737018,0.244108,7.41135960e-04,2.348,2.346,0.002,2.348,12
36,1.712677,0.251804,1.732503,0.255892,7.27268255e-04,2.334,2.331,0.004,2.334,13
37,1.708656,0.275613,1.737055,0.234007,7.13176756e-04,2.308,2.305,0.003,2.308,14
38,1.711602,0.265512,1.736885,0.242424,6.98875371e-04,2.405,2.402,0.003,2.405,15
39,1.712079,0.273449,1.730088,0.254209,6.84378214e-04,2.320,2.317,0.003,2.320,16
40,1.712496,0.260462,1.745000,0.235690,6.69699591e-04,2.329,2.327,0.002,2.329,17
41,1.715801,0.259740,1.745652,0.250842,6.54853989e-04,2.400,2.397,0.003,2.400,18
42,1.706917,0.260462,1.752722,0.247475,6.39856057e-04,2.391,2.389,0.003,2.391,19
43,1.716178,0.264069,1.736192,0.247475,6.24720599e-04,2.371,2.368,0.003,2.371,20
44,1.704438,0.256854,1.732968,0.237374,6.09462549e-04,2.328,2.324,0.003,2.328,21
45,1.703510,0.274170,1.736174,0.242424,5.94096967e-04,2.381,2.378,0.002,2.381,22
46,1.699112,0.271284,1.727897,0.255892,5.78639015e-04,2.324,2.322,0.003,2.324,23
47,1.694601,0.268398,1.738288,0.239057,5.63103950e-04,2.355,2.352,0.003,2.355,24
48,1.694152,0.269841,1.735591,0.237374,5.47507103e-04,2.381,2.378,0.003,2.381,25
