epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter,train_response_loss,test_response_loss,train_gate_mean,test_gate_mean,train_adapter_residual_abs_mean,test_adapter_residual_abs_mean,train_adapter_residual_norm,test_adapter_residual_norm,train_layer_scale_mean,test_layer_scale_mean
1,1.572350,0.417749,1.299404,0.604377,1.00000000e-03,55.432,55.400,0.032,55.432,0,,,,,0.596411,0.722960,21.882136,27.257476,0.00390421,0.00596749
2,1.128234,0.651515,1.073262,0.648148,9.99753527e-04,8.900,8.875,0.024,8.900,0,,,,,0.775305,0.781983,30.296742,31.022092,0.00664165,0.00738105
3,0.924637,0.698413,1.039879,0.624579,9.99014351e-04,8.909,8.894,0.015,8.909,1,,,,,0.703056,0.550236,27.789203,21.524954,0.00801881,0.00856859
4,0.784567,0.735931,0.949521,0.651515,9.97783201e-04,9.026,9.001,0.025,9.026,0,,,,,0.690779,0.584176,26.922105,22.543055,0.00938289,0.00999869
5,0.652276,0.783550,0.933388,0.648148,9.96061293e-04,8.981,8.968,0.013,8.981,1,,,,,0.715846,0.740764,27.582724,28.687393,0.01077374,0.01133949
6,0.549903,0.826840,1.010462,0.627946,9.93850326e-04,9.130,9.117,0.013,9.130,2,,,,,0.709805,0.670143,27.323914,25.825854,0.01181955,0.01234519
7,0.443580,0.853535,0.997647,0.638047,9.91152482e-04,8.958,8.946,0.013,8.958,3,,,,,0.707885,0.646453,27.145847,24.839798,0.01286757,0.01321543
8,0.381482,0.880231,1.091515,0.653199,9.87970423e-04,9.013,8.969,0.045,9.013,0,,,,,0.691302,0.688460,26.520919,26.533796,0.01368568,0.01423757
9,0.297810,0.904040,1.173461,0.609428,9.84307289e-04,9.127,9.111,0.016,9.127,1,,,,,0.720665,0.630092,27.498571,23.989883,0.01478534,0.01511395
10,0.258002,0.927128,1.143234,0.648148,9.80166696e-04,9.121,9.104,0.017,9.121,2,,,,,0.677886,0.610581,25.838382,23.207768,0.01541038,0.01576065
11,0.196184,0.946609,1.344424,0.622896,9.75552730e-04,9.409,9.395,0.013,9.409,3,,,,,0.678455,0.675084,25.889750,25.879120,0.01614336,0.01659149
12,0.146440,0.956710,1.264329,0.609428,9.70469944e-04,9.221,9.204,0.017,9.221,4,,,,,0.699244,0.612362,26.673839,23.275100,0.01694950,0.01717711
13,0.110443,0.979076,1.387884,0.629630,9.64923355e-04,9.291,9.274,0.017,9.291,5,,,,,0.683958,0.661408,26.032324,25.166684,0.01749921,0.01775778
14,0.103688,0.971861,1.306973,0.654882,9.58918436e-04,9.362,9.312,0.050,9.362,0,,,,,0.693676,0.659045,26.311397,24.940512,0.01807913,0.01839701
15,0.097220,0.973304,1.550638,0.604377,9.52461113e-04,9.648,9.632,0.016,9.648,1,,,,,0.670356,0.642576,25.367967,24.489828,0.01844538,0.01854663
16,0.070659,0.981241,1.458534,0.602694,9.45557759e-04,9.185,9.172,0.013,9.185,2,,,,,0.661184,0.597305,25.053007,22.575805,0.01862445,0.01883751
17,0.047936,0.987734,1.545665,0.612795,9.38215187e-04,9.099,9.082,0.017,9.099,3,,,,,0.675358,0.656729,25.487696,24.791984,0.01907647,0.01926903
18,0.030502,0.996392,1.677156,0.606061,9.30440642e-04,9.127,9.107,0.020,9.127,4,,,,,0.692997,0.640563,26.101687,24.135688,0.01941079,0.01940830
19,0.021058,0.997835,1.621712,0.636364,9.22241799e-04,9.316,9.301,0.015,9.316,5,,,,,0.701795,0.669022,26.433825,25.211386,0.01954586,0.01976852
20,0.022660,0.996392,1.756415,0.599327,9.13626747e-04,9.327,9.311,0.015,9.327,6,,,,,0.701795,0.652367,26.397056,24.504268,0.01976662,0.01985634
21,0.013970,0.999278,1.791582,0.614478,9.04603989e-04,9.194,9.180,0.014,9.194,7,,,,,0.708570,0.686367,26.632569,25.831451,0.01995522,0.02006923
22,0.010616,0.998557,1.870919,0.607744,8.95182429e-04,9.039,9.024,0.015,9.039,8,,,,,0.748580,0.681802,28.141916,25.649370,0.02019587,0.02022821
23,0.021396,0.993506,1.772052,0.622896,8.85371365e-04,9.457,9.439,0.018,9.457,9,,,,,0.716578,0.671737,26.903078,25.206293,0.02030120,0.02037247
24,0.044607,0.989177,1.682016,0.616162,8.75180479e-04,9.322,9.308,0.013,9.322,10,,,,,0.678435,0.662941,25.443975,24.866197,0.02040659,0.02041541
25,0.048666,0.985570,1.711694,0.604377,8.64619829e-04,9.493,9.477,0.015,9.493,11,,,,,0.681662,0.603750,25.565957,22.601363,0.02065835,0.02075853
26,0.019017,0.995671,1.793982,0.624579,8.53699837e-04,9.403,9.389,0.014,9.403,12,,,,,0.680039,0.637753,25.478656,23.892221,0.02098221,0.02104051
27,0.020077,0.996392,1.827493,0.622896,8.42431279e-04,9.554,9.540,0.014,9.554,13,,,,,0.690010,0.615147,25.844558,23.027550,0.02109779,0.02103346
28,0.011592,0.997835,1.924954,0.619529,8.30825277e-04,9.537,9.523,0.014,9.537,14,,,,,0.665975,0.642792,24.897856,24.030693,0.02115811,0.02132284
29,0.022545,0.994949,2.041334,0.589226,8.18893283e-04,9.879,9.865,0.014,9.879,15,,,,,0.689281,0.636499,25.762779,23.757580,0.02141357,0.02151141
30,0.042796,0.987734,1.962834,0.604377,8.06647073e-04,9.623,9.609,0.014,9.623,16,,,,,0.665408,0.577300,24.846436,21.558947,0.02149321,0.02150065
31,0.025300,0.995671,1.921140,0.601010,7.94098734e-04,9.515,9.500,0.015,9.515,17,,,,,0.624009,0.583365,23.291751,21.756967,0.02158070,0.02168258
32,0.008339,0.999278,2.034897,0.595960,7.81260647e-04,9.756,9.742,0.014,9.756,18,,,,,0.638861,0.601584,23.836626,22.464172,0.02181167,0.02189356
