epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter,train_response_loss,test_response_loss,train_gate_mean,test_gate_mean,train_adapter_residual_abs_mean,test_adapter_residual_abs_mean,train_adapter_residual_norm,test_adapter_residual_norm,train_layer_scale_mean,test_layer_scale_mean
1,1.624273,0.393939,1.414713,0.592593,1.00000000e-03,60.961,60.928,0.033,60.961,0,,,,,0.008163,0.037735,0.307208,1.395481,0.00497072,0.01115842
2,1.213434,0.637085,1.115158,0.646465,9.99753527e-04,9.525,9.496,0.029,9.525,0,,,,,0.155556,0.252302,5.696734,9.376474,0.01622689,0.01902335
3,0.976150,0.684704,1.008239,0.654882,9.99014351e-04,9.703,9.672,0.031,9.703,0,,,,,0.259295,0.260312,9.724123,9.893792,0.01958244,0.01995901
4,0.857862,0.707792,0.940774,0.671717,9.97783201e-04,9.935,9.910,0.025,9.935,0,,,,,0.278133,0.290900,10.609381,11.121765,0.02058246,0.02114844
5,0.776323,0.746032,0.920018,0.653199,9.96061293e-04,9.613,9.600,0.013,9.613,1,,,,,0.294282,0.280439,11.260504,10.699235,0.02179906,0.02232559
6,0.711149,0.764069,0.867735,0.688552,9.93850326e-04,9.364,9.342,0.022,9.364,0,,,,,0.294116,0.293213,11.202620,11.117385,0.02299421,0.02360669
7,0.647164,0.787157,0.879076,0.671717,9.91152482e-04,9.225,9.212,0.013,9.225,1,,,,,0.296039,0.298797,11.251486,11.436156,0.02426319,0.02486565
8,0.618451,0.791486,0.858024,0.681818,9.87970423e-04,9.341,9.329,0.013,9.341,2,,,,,0.300629,0.299239,11.398778,11.272919,0.02549836,0.02618676
9,0.554588,0.813853,0.861552,0.688552,9.84307289e-04,9.283,9.269,0.014,9.283,3,,,,,0.311116,0.300148,11.688490,11.260447,0.02701800,0.02781710
10,0.520158,0.828283,0.863485,0.673401,9.80166696e-04,9.446,9.430,0.016,9.446,4,,,,,0.316962,0.310892,11.865246,11.589385,0.02848324,0.02922417
11,0.480882,0.840548,0.917946,0.659933,9.75552730e-04,9.303,9.290,0.013,9.303,5,,,,,0.320920,0.324394,11.925724,12.088212,0.03023028,0.03107550
12,0.441756,0.853535,0.888842,0.671717,9.70469944e-04,9.316,9.304,0.012,9.316,6,,,,,0.330494,0.316001,12.225181,11.675830,0.03183721,0.03256305
