epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter,train_response_loss,test_response_loss,train_gate_mean,test_gate_mean,train_adapter_residual_abs_mean,test_adapter_residual_abs_mean,train_adapter_residual_norm,test_adapter_residual_norm,train_layer_scale_mean,test_layer_scale_mean
1,1.613737,0.393939,1.356746,0.601010,1.00000000e-03,59.700,59.661,0.039,59.700,0,,,,,0.058174,0.251483,2.095471,9.105082,0.00529128,0.01081583
2,1.160902,0.642136,1.074052,0.648148,9.99753527e-04,11.008,10.970,0.038,11.008,0,,,,,0.345175,0.419135,12.854402,15.777524,0.01255555,0.01421230
3,0.941102,0.691198,0.994512,0.651515,9.99014351e-04,11.106,11.068,0.038,11.106,0,,,,,0.392572,0.348840,14.737594,13.159231,0.01496174,0.01564560
4,0.812853,0.717172,0.931702,0.668350,9.97783201e-04,11.087,11.054,0.033,11.087,0,,,,,0.404269,0.397178,15.203588,14.919772,0.01659899,0.01752472
5,0.703612,0.763348,0.897263,0.644781,9.96061293e-04,11.015,10.991,0.023,11.015,1,,,,,0.435799,0.432767,16.282755,16.158782,0.01840174,0.01909191
6,0.612804,0.797980,0.877862,0.680135,9.93850326e-04,10.978,10.949,0.030,10.978,0,,,,,0.437232,0.404651,16.229387,14.948026,0.02002815,0.02077800
7,0.512612,0.834776,0.945522,0.638047,9.91152482e-04,10.976,10.959,0.017,10.976,1,,,,,0.439252,0.439177,16.236972,16.274636,0.02164183,0.02224405
8,0.457355,0.854978,0.924783,0.651515,9.87970423e-04,10.907,10.890,0.017,10.907,2,,,,,0.449726,0.433671,16.557020,15.921171,0.02307853,0.02386717
9,0.365132,0.880952,0.968727,0.639731,9.84307289e-04,10.622,10.603,0.019,10.622,3,,,,,0.461336,0.449534,16.862084,16.360746,0.02470127,0.02546467
10,0.311253,0.898268,0.981294,0.654882,9.80166696e-04,10.531,10.513,0.018,10.531,4,,,,,0.471021,0.482210,17.100182,17.523214,0.02608726,0.02675350
11,0.247253,0.930736,1.127232,0.643098,9.75552730e-04,10.647,10.628,0.019,10.647,5,,,,,0.483017,0.479908,17.503103,17.385282,0.02736556,0.02803847
12,0.201682,0.944444,1.118826,0.638047,9.70469944e-04,10.715,10.698,0.018,10.715,6,,,,,0.484160,0.466555,17.492041,16.865591,0.02870697,0.02918664
13,0.155367,0.966089,1.140715,0.651515,9.64923355e-04,10.541,10.519,0.022,10.541,7,,,,,0.493506,0.483548,17.783490,17.405370,0.02987406,0.03036237
14,0.119990,0.972583,1.190500,0.649832,9.58918436e-04,10.747,10.728,0.020,10.747,8,,,,,0.500727,0.483575,17.986458,17.360135,0.03088957,0.03137895
15,0.085374,0.987734,1.267767,0.643098,9.52461113e-04,10.731,10.714,0.018,10.731,9,,,,,0.505252,0.502674,18.125644,18.009719,0.03181886,0.03231747
16,0.062495,0.990620,1.308811,0.639731,9.45557759e-04,10.720,10.699,0.021,10.720,10,,,,,0.507956,0.477264,18.190433,17.070191,0.03263786,0.03285852
17,0.046088,0.994228,1.337842,0.649832,9.38215187e-04,10.792,10.774,0.018,10.792,11,,,,,0.509261,0.491124,18.210816,17.528352,0.03311051,0.03325180
18,0.035048,0.994949,1.522684,0.622896,9.30440642e-04,10.848,10.829,0.019,10.848,12,,,,,0.515452,0.507233,18.396167,18.087764,0.03354683,0.03382174
